ticker,pool_id_bech32,epoch,stake_address,lovelace
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u8q8xmkmru9myt7m6mg4xl5melgavnpxrnlyj8dt5jc2zfgk2hxr3,19741109881
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1uxwlpxzmnrnw89z6fvz7j39fqs67h9dknkf9rraygupp42cj7ad3n,16038370870
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u8qpy6ajklvcmd0k055n53f4vxayhk86g0ewhfjuh0vnm3gvwdzg7,11971906098
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1ux9sx80a2f3l0ykvew9f5dhysf65y9rjllrwhwsskxlxvgcmzax5y,10314769822
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1uxzay95e623c45htruwlhl6jtwa068pyrrmfwsez636rzgcww7wat,10114676546
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u9z5svdlgmexqcjkqpmkrxp4ukg0j6u064pq0eu03ax4w9g8rly2w,9492273349
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u8n9vcr70gejuydynvhnddmapfl5pqzgme5dulhvgf6t2vgk2nnxm,9268025753
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u8kslsqcvmrqggl2rs6edeept2vwcun72pzks3f73d5nevcn3hjvx,9206682061
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u8xq4qc8mjwn60dvfjzqjesfwg792f0dg88ers5fzhg839qk6q50e,7496247817
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u8efytpn3n9wpen645767fe2c98uu6uaczvwy69uf8dekkqg07vhm,6972868356
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1uy09fq4eau2mqkckx3ue98ltm3gpuqzapu09at0me30nvns3kdtsm,6435547570
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u8qu02lzmdypjmr9nrjqxrey8w9d00nt9p8xwgjvu7k38ts7rjrq8,5823944444
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u8jtwxksksaejshyq0hlzglavunmyus5apjpelue58qz8rq9dugyz,5516912409
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1uywpflzhcu8uz0wn84k70m7s20htg2chchelmeqxd7zhp3sv7cxmm,4304780568
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u889780h0dc32vl4k5gnv2cg8qnfyucl5alpphz58nnfp0qrk4yjd,3885817429
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u9qgdq79ey0nyw3sdym8afuwm7uy84eaekppsyxtwfqua3s62atlt,3842553960
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u96htqkntu5vvfdttwnwrgfsw8wpetcprdtwgaymugal5acg77t64,3256352610
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1u9cwrshuhl5p2452fqc6e0qvw66pt35k3pejh2mfjt4ljvs3ktw6k,3228820096
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1uycq4zqqqm6g05tt3ywknymum6s8nn9ynhcmzg5p0xmuluc5n7qj8,2351380850
KARMA,pool1668w66pcrdjmavz0c7vym7s4d3xm7578jy0fqzhk55677t4etud,339,stake1uxd8d4s234k3lle5g6f07z2vptdca7rnjkyj27cy5dljexgz3k7u8,2190187231
